Protein	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
yajC	1.5768	2.2547	1.5028	3.1117	0	2.0543	2.046	2.1849	2.1864	2.3373	1.5369	1.5708	0	1.1075	2.2721	2.9424	0	2.1115	1.0721	2.0981	3.036	1.9229	5.2707	2.0302	3.179	1.4804	2.4627	2.3457	2.1428	2.1842	1.1235	2.2136	2.1849	2.0932	1.9841	1.9576	2.0501	2.0561	3.2251	1.9938	2.8877	1.9434	1.9864	2.1898	3.1655	1.882	3.2006	2.0109	2.3217	2.2516	2.19	1.0795	1.1438	1.0148	2.103	2.9691	1.9345	1.0895	3.684	2.0781	1.9493	2.1086	3.4292	1.8763	0.97882	3.5575	2.0245	3.918	2.8901	1.8306	1.9581	2.6578
yajG	3.1535	3.0062	3.0056	2.0744	2.0896	2.0543	2.046	2.1849	2.1864	3.1163	4.6107	3.9269	0	0	1.136	1.9616	0	1.0557	3.2164	2.0981	3.036	1.9229	1.0541	1.0151	3.179	0.74021	0.82091	2.3457	2.1428	1.0921	2.247	3.3204	1.0925	5.2331	1.9841	4.8941	2.0501	2.0561	2.15	1.9938	1.9251	1.9434	2.9796	3.2847	3.1655	1.882	1.0669	2.0109	2.3217	2.2516	2.19	2.159	2.2877	1.0148	1.0515	1.9794	0.96724	5.4475	2.456	5.1953	2.9239	2.1086	2.2861	2.8144	1.9576	1.7787	1.0122	0.9795	1.9268	1.8306	0.97906	2.6578
yajO										0	0	0	0	0	0	1.9616	1.1536	1.0557	1.0721	3.1471	1.012	2.8844	1.0541	5.0755										0	0	0	0	0	0	0	0	0	0	0	0	0.94098	0	0										0	0	0	0	0	0	0	0	0	0	0	1.9268	0.91532	0.97906	0
yajQ	6.307	8.2672	6.0111	7.2606	5.2241	5.1358	6.138	5.4623	5.4659	4.6745	5.3791	4.7123	5.9922	5.5376	6.8162	5.8848	5.7679	6.3344	8.5771	6.2942	8.0961	4.8073	6.3248	5.0755	7.4176	5.1814	4.9255	4.6914	6.4285	6.5525	5.6174	6.6409	4.3698	6.2797	6.9445	5.8729	5.1253	5.1403	6.4501	4.9845	6.7379	6.802	6.9525	7.6644	8.4413	6.5869	7.468	7.038	6.965	5.629	6.57	6.4771	6.863	5.0739	8.4121	4.9485	6.7707	6.537	6.14	6.2344	5.8478	7.3801	6.8583	7.5051	6.8517	7.1149	7.0857	5.877	6.7437	6.4073	5.8744	6.2015
ybaB	0	0.75156	2.2542	0	0	0	0	0	0	2.3373	2.3053	0.78539	0	0	0	0	0	0	0	1.049	1.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99207	0.97882	0	0	0	0	0	0	0	0	1.0552	0.94098	1.0669	1.0054	0	0	0	0	0	0	0	0	0	0	0	0	2.9239	0	0	1.8763	0	1.7787	0	0	0	0.91532	0.97906	0.88592
ybaL										0	0	0	0	0	0	0	1.1536	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
ybaS	0	0	0	0	0	0	0	0	0	0	0	0	5.9922	6.6451	9.0883	5.8848	8.0751	6.3344	9.6493	7.3432	9.1081	7.6916	6.3248	6.0906	0	0.74021	0	0	0	0	0	0	0	0	0	0	2.0501	1.0281	2.15	3.9876	3.8502	2.9151	4.966	2.1898	4.2207	1.882	1.0669	3.0163	0	0	0	0	0	0	0	0	0	0	0	1.0391	0	2.1086	1.1431	1.8763	1.9576	1.7787	3.0367	1.959	1.9268	2.746	2.9372	1.7718
ybaY	4.7303	4.5094	4.5083	3.1117	5.2241	7.1901	6.138	6.5547	6.5591	6.2327	5.3791	4.7123	8.3891	6.6451	6.8162	7.8464	9.2287	6.3344	7.505	8.3922	8.0961	9.6145	8.4331	8.1207	5.2983	5.1814	4.9255	4.6914	5.3571	5.4604	5.6174	7.7477	5.4623	5.2331	6.9445	4.8941	6.1504	6.1683	6.4501	7.9753	7.7005	8.7454	7.9457	8.7593	8.4413	7.5278	7.468	8.0434	5.8041	3.3774	6.57	6.4771	5.7192	6.0887	5.2576	5.9382	4.8362	5.4475	6.14	7.2734	7.7971	7.3801	9.1445	7.5051	7.8305	6.2255	7.0857	7.836	6.7437	6.4073	6.8534	8.8592
ybbN	2.3651	3.0062	2.2542	0	0	1.0272	0	0	0	1.5582	1.5369	2.3562	2.3969	1.1075	1.136	2.9424	3.4608	2.1115	1.0721	3.1471	3.036	0	0	0	0	1.4804	0	0	2.1428	0	0	0	0	0	0.99207	1.9576	2.0501	3.0842	2.15	0	0.96256	1.9434	0	0	0	0.94098	1.0669	2.0109	0	0	0	1.0795	0	2.0296	1.0515	0	0	1.0895	1.228	2.0781	0.97464	1.0543	1.1431	2.8144	0.97882	2.6681	1.0122	0	0	0	1.9581	0
ybcJ	0.78838	0.75156	0	0	0	0	0	0	0	0	0.76845	0	0	0	0	0	0	0	0	0	1.012	0	1.0541	1.0151	0	0	0	0	0	0	0	0	0	0	0	0.97882	0	0	0	0	0	0	0.99321	0	1.0552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9576	0.88936	0	0	0.96338	0	0	0
ybeB	0.78838	1.5031	1.5028	0	0	0	0	0	0	0.77909	0	0	0	0	0	0	0	0							0	0.74021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	1.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
ybeD	1.5768	1.5031	1.5028	2.0744	4.1793	4.1087	4.092	3.2774	3.2795	3.1163	3.0738	3.1416	2.3969	2.215	2.2721	0.98079	1.1536	0	1.0721	2.0981	1.012	0	0	0	4.2386	1.4804	1.6418	4.6914	5.3571	4.3683	5.6174	5.5341	5.4623	3.1399	1.9841	1.9576	2.0501	2.0561	2.15	3.9876	3.8502	3.8868	2.9796	3.2847	4.2207	2.8229	3.2006	3.0163	0	0	0	5.3976	4.5754	5.0739	4.206	3.9588	1.9345	2.179	2.456	2.0781	1.9493	2.1086	2.2861	3.7526	3.9153	3.5575	4.049	3.918	3.8535	3.6613	2.9372	3.5437
ybeL	0.78838	0	0.75139	0	0	0	0	0	0	1.5582	1.5369	1.5708	2.3969	1.1075	1.136	0.98079	1.1536	1.0557	2.1443	1.049	2.024	0	0	0	0	0.74021	0	0	0	0	0	0	0	0	0	0.97882	1.0251	1.0281	2.15	0.99691	0	1.9434	2.9796	3.2847	2.1103	0.94098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9493	0	0	0.93814	1.9576	1.7787	0	0	0	0	0	0
ybeZ	3.1535	2.2547	1.5028	1.0372	1.0448	0	2.046	2.1849	2.1864	3.8954	2.3053	2.3562	4.7938	6.6451	4.5441	3.9232	6.9215	6.3344	10.721	7.3432	7.0841	4.8073	5.2707	7.1057	3.179	0.74021	1.6418	3.5186	3.2142	2.1842	3.3704	2.2136	4.3698	6.2797	4.9604	4.8941	8.2006	6.1683	5.3751	2.9907	4.8128	4.8586	3.9728	3.2847	3.1655	1.882	3.2006	3.0163	2.3217	2.2516	2.19	2.159	2.2877	2.0296	3.1545	4.9485	6.7707	5.4475	3.684	5.1953	4.8732	7.3801	5.7153	6.567	5.8729	8.0043	6.0735	6.8565	4.8169	3.6613	2.9372	4.4296
ybgI	0.78838	3.0062	1.5028	0	0	0	2.046	3.2774	2.1864	0	2.3053	3.9269	0	0	0	0	0	0	2.1443	2.0981	4.048	1.9229	2.1083	3.0453	2.1193	2.2206	1.6418	0	0	0	0	0	0	3.1399	2.9762	3.9153	0	0	0	0	0	0	3.9728	3.2847	3.1655	4.7049	3.2006	4.0217	2.3217	1.1258	3.285	0	0	0	0	0	0	2.179	0	0	0	0	0	0	0	0	2.0245	2.9385	2.8901	3.6613	2.9372	3.5437
ybgS										1.5582	0.76845	1.5708	1.1984	1.1075	2.2721	1.9616	2.3072	2.1115	2.1443	2.0981	2.024	1.9229	2.1083	2.0302										0	0	0	0	0	0	1.9938	1.9251	1.9434	1.9864	2.1898	2.1103	1.882	2.1337	2.0109										0	0	0	0	2.1086	0	0	0	0	2.0245	1.959	0.96338	1.8306	1.9581	1.7718
ybhE	0	0	0	0	0	0	0	0	0	1.5582	1.5369	3.1416	0	0	0	2.9424	3.4608	2.1115	4.2886	6.2942	5.06	4.8073	3.1624	6.0906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9251	0	1.9864	2.1898	2.1103	5.6459	3.2006	3.0163	0	1.1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0245	1.959	1.9268	4.5766	2.9372	2.6578
ybiB										1.5582	1.5369	1.5708	0	0	0	2.9424	0	0	0	1.049	4.048	1.9229	2.1083	1.0151										0	0	0	0	0	0	0	0.96256	2.9151	2.9796	1.0949	3.1655	2.8229	2.1337	3.0163										0	0	0	0	0	0	0	0.97882	0	0	0.9795	1.9268	0.91532	0	1.7718
ybiS	0.78838	0.75156	1.5028	0	1.0448	2.0543	1.023	0	0	1.5582	0.76845	0	0	1.1075	1.136	0.98079	1.1536	1.0557	0	1.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.095	0	0	1.0148	0	0	0	0	2.456	0	0	0	0	0	0	0	0	0	0	0	0	0
ybiT	0.78838	1.5031	0	1.0372	2.0896	3.0815	2.046	1.0925	1.0932	0	0.76845	1.5708	0	0	0	0	0	0							0	0	0	0	1.0714	1.0921	1.1235	2.2136	0	0	0.99207	0.97882	1.0251	1.0281	0	0	0	0							0	0	0	1.0795	1.1438	1.0148	0	0.98969	0.96724	0	0	0	0	0	0	0	0	0						
ybjP										0	3.0738	3.1416	0	0	0	2.9424	0	2.1115	2.1443	4.1961	4.048	2.8844	1.0541	2.0302										0	0	0.97882	0	0	0	3.9876	2.8877	0.97171	4.966	3.2847	3.1655	2.8229	3.2006	4.0217										0	0	0	0.97464	1.0543	1.1431	0.93814	1.9576	0.88936	2.0245	2.9385	2.8901	1.8306	2.9372	3.5437
ybjQ																			0	0	1.012	0	0	0																			0	0	0	0	0	0																			0	0	0	0	0	0
ycaC	0	0	0	0	0	0	0	0	0	6.2327	5.3791	7.0685	7.1907	4.4301	7.9522	10.789	11.536	9.5015	12.866	8.3922	12.144	9.6145	11.595	9.1358	0	0	0	0	0	0	0	0	0	0	0	0	3.0752	2.0561	4.3001	2.9907	4.8128	2.9151	5.9593	7.6644	7.3861	8.4688	5.3343	6.0326	2.3217	0	0	0	0	0	0	0	0	1.0895	0	1.0391	0.97464	1.0543	0	3.7526	4.8941	5.3362	12.147	9.795	10.597	14.645	16.644	15.061
ycaO	1.5768	2.2547	1.5028	0	2.0896	1.0272	2.046	1.0925	2.1864	0	0	1.5708	0	0	0	0	0	0							0	0.74021	0	1.1729	1.0714	1.0921	1.1235	0	1.0925	0	0	0	0	0	0	0	0	0							2.3217	2.2516	2.19	1.0795	0	1.0148	0	0	0	1.0895	0	1.0391	0	0	0	0	0	0						
ycaR	0.78838	1.5031	0	1.0372	0	0	0	0	0	0.77909	1.5369	0	0	0	0	0	0	0							0	0.74021	0.82091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							2.3217	2.2516	1.095	0	0	0	0	0	0	0	0	0	0	0	0	0.93814	1.9576	0.88936						
yccJ	0	0	0	0	0	0	0	0	0	3.1163	3.0738	3.1416	4.7938	3.3226	3.4081	6.8656	4.6143	4.2229	6.4329	5.2451	5.06	6.7302	7.3789	7.1057	1.0597	0.74021	0.82091	0	0	0	0	0	0	1.0466	0	0	0	2.0561	1.075	4.9845	2.8877	3.8868	3.9728	5.4746	5.2758	6.5869	6.4012	7.038	0	0	0	0	0	0	0	0	0	0	0	0	1.9493	2.1086	0	3.7526	2.9364	3.5575	5.0612	4.8975	6.7437	6.4073	6.8534	6.2015
yccU										0	0	0	0	1.1075	1.136	0.98079	1.1536	0	1.0721	2.0981	1.012	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yccW	0	0.75156	0	1.0372	0	1.0272	0	0	0																0	0	0	0	0	0	0	0	0																0	0	1.095	0	0	0	0	0	0															
yceH										1.5582	1.5369	0.78539	1.1984	2.215	1.136	0.98079	2.3072	1.0557	1.0721	1.049	2.024	1.9229	1.0541	1.0151										1.0466	0	0	0	0	0	0	0	0.97171	0.99321	2.1898	1.0552	0.94098	2.1337	1.0054										0	0	0	0	0	0	0	0.97882	0	0	0	0.96338	0.91532	0	0.88592
trmU	0	0.75156	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
ycfD										0	0	1.5708	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
hinT	0	0.75156	0	0	0	0	0	0	0	4.6745	6.1476	4.7123	3.5953	4.4301	4.5441	3.9232	4.6143	3.1672	4.2886	4.1961	4.048	0.96145	2.1083	4.0604	1.0597	0	0	0	0	0	0	0	0	1.0466	1.9841	2.9364	3.0752	4.1122	4.3001	0.99691	0.96256	0.97171	0.99321	1.0949	1.0552	0.94098	1.0669	1.0054	0	0	0	0	0	0	0	0	0	0	0	0	2.9239	2.1086	0	0.93814	0	2.6681	1.0122	1.959	0	1.8306	0	0.88592
ycfM										1.5582	0.76845	1.5708	0	1.1075	0	0	0	0	1.0721	0	0	0.96145	0	2.0302										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ycfP	0.78838	1.5031	0.75139	0	0	0	1.023	0	0	2.3373	3.0738	1.5708	2.3969	2.215	2.2721	1.9616	2.3072	2.1115	2.1443	2.0981	2.024	1.9229	2.1083	2.0302	1.0597	1.4804	0	0	0	0	0	0	0	1.0466	1.9841	1.9576	2.0501	2.0561	2.15	1.9938	1.9251	1.9434	1.9864	1.0949	1.0552	1.882	2.1337	2.0109	1.1608	2.2516	1.095	0	0	0	0	0.98969	0	0	1.228	1.0391	0.97464	2.1086	1.1431	1.8763	1.9576	1.7787	3.0367	1.959	1.9268	3.6613	3.9162	2.6578
bhsA										0	0	0	0	0	0	2.9424	3.4608	4.2229	5.3607	6.2942	6.0721	3.8458	4.2165	4.0604										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ychF	7.8838	5.2609	3.7569	6.2233	4.1793	4.1087	6.138	5.4623	4.3727	3.8954	6.1476	6.2831	0	1.1075	2.2721	1.9616	1.1536	0	2.1443	2.0981	4.048	2.8844	1.0541	3.0453	3.179	5.9216	4.1045	3.5186	4.2857	3.2763	2.247	4.4273	4.3698	3.1399	4.9604	3.9153	3.0752	2.0561	2.15	0.99691	4.8128	4.8586	1.9864	2.1898	2.1103	2.8229	2.1337	2.0109	3.4825	2.2516	3.285	4.3181	4.5754	4.0591	4.206	2.9691	3.869	4.358	4.912	6.2344	1.9493	2.1086	4.5722	1.8763	3.9153	3.5575	3.0367	1.959	3.8535	1.8306	1.9581	1.7718
ychN	0.78838	0.75156	1.5028	2.0744	2.0896	2.0543	2.046	1.0925	2.1864	3.8954	1.5369	3.1416	2.3969	4.4301	3.4081	2.9424	4.6143	2.1115	2.1443	1.049	2.024	0.96145	2.1083	2.0302	1.0597	1.4804	0.82091	0	1.0714	0	1.1235	1.1068	1.0925	2.0932	1.9841	0.97882	1.0251	1.0281	3.2251	1.9938	1.9251	1.9434	0.99321	1.0949	2.1103	1.882	2.1337	2.0109	1.1608	1.1258	1.095	2.159	1.1438	2.0296	0	1.9794	1.9345	2.179	2.456	2.0781	0.97464	2.1086	2.2861	0.93814	1.9576	2.6681	2.0245	1.959	0.96338	0.91532	0.97906	0.88592
yciE										0	0	0	0	0	0	0.98079	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
yciF										0	0	0	2.3969	2.215	2.2721	5.8848	2.3072	4.2229	7.505	9.4413	5.06	8.6531	6.3248	7.1057										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0.9795	0	0.91532	0.97906	2.6578
yciG																			2.1443	2.0981	2.024	1.9229	2.1083	2.0302																			0	0	0	0	0	0																			1.0122	0	0.96338	0	0	0
yciN																			0	0	0	0	0	0																			0	0	0	0	1.0669	0																			1.0122	0	1.9268	0	0	0
yciO										0	0.76845	0	0	0	0	0	0	0	0	0	0	0.96145	0	0										0	0	0	0	0	0	0	0	0	0	0	0	1.882	0	0										0	0	0	0	0	0	0	0	0	0	0	0.96338	0	0	0.88592
ttcA	0.78838	2.2547	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
ydcL										0	0	0.78539	0	0	0	0	0	0	1.0721	0	0	0.96145	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ydcW	0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	1.0925																0	0	0	0	0	0	0	0	0															
ydcY																			0	0	0	0	0	0																			0	0	0	0	0	0																			0	0	0	0	0	0.88592
ydfG	0	0	0	0	0	0	0	0	0	0.77909	0	0.78539	1.1984	1.1075	1.136	0	1.1536	0	0	0	0	1.9229	1.0541	2.0302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9795	0	0	0	0
ydfZ	0	0.75156	0	0	0	0	0	0	0	2.3373	1.5369	1.5708	0	1.1075	1.136	1.9616	0	2.1115	2.1443	3.1471	2.024	1.9229	3.1624	2.0302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0543	0	0	0	0	0	0	0	0	0	0
ydgA	0	0	0.75139	0	2.0896	2.0543	2.046	0	4.3727	15.582	16.137	14.137	14.381	14.398	20.449	16.673	16.15	12.669	23.587	17.833	18.216	20.191	18.974	18.272	0	0	0.82091	0	0	0	0	0	1.0925	6.2797	7.9366	6.8517	10.251	10.281	12.9	13.957	12.513	11.661	12.912	14.234	13.717	19.761	14.936	18.098	0	0	0	0	0	1.0148	0	0	0.96724	3.2685	1.228	4.1562	2.9239	5.2715	4.5722	7.5051	2.9364	10.672	8.098	13.713	12.524	11.899	5.8744	8.8592
ydgH	0	0	0.75139	0	0	1.0272	1.023	0	0	1.5582	1.5369	1.5708	0	1.1075	0	0	1.1536	0							0	0.74021	0	0	0	0	0	0	0	0	0	0.97882	0	0	0	0	0	0							1.1608	2.2516	1.095	0	0	1.0148	1.0515	0	1.9345	1.0895	0	1.0391	0.97464	0	0	0	0	0						
grxD	3.1535	2.2547	1.5028	0	0	0	4.092	3.2774	2.1864	3.1163	3.0738	0	3.5953	3.3226	3.4081	3.9232	3.4608	3.1672	3.2164	3.1471	4.048	2.8844	2.1083	4.0604	4.2386	2.9608	2.4627	0	0	0	0	0	0	0	0	0	4.1003	4.1122	4.3001	3.9876	3.8502	2.9151	3.9728	4.3797	4.2207	2.8229	4.2674	4.0217	3.4825	2.2516	2.19	0	0	0	0	0	0	0	0	3.1172	2.9239	3.1629	3.4292	3.7526	2.9364	3.5575	4.049	2.9385	3.8535	3.6613	3.9162	3.5437
ydhQ										3.1163	1.5369	2.3562	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
ydhR																			0	0	0	0	0	0																			0	0	0	0.94098	0	0																			0	0	0	0	0	0
ydiH										2.3373	1.5369	3.9269	3.5953	4.4301	3.4081	1.9616	0	1.0557	1.0721	0	1.012	0	0	0										0	0	0	2.0501	1.0281	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	1.8763	0	1.7787	2.0245	0	0	1.8306	0.97906	1.7718
ydiZ										1.5582	1.5369	0.78539	0	1.1075	2.2721	0.98079	2.3072	2.1115	2.1443	1.049	2.024	0	0	0										0	0	0	0	0	0	0.99691	0.96256	0.97171	0	1.0949	0	0	0	0										0	0	0	0	0	0	0	0.97882	0.88936	2.0245	1.959	0	1.8306	1.9581	1.7718
ydjA	0	0	0	0	0	0	1.023	0	0	3.1163	1.5369	3.9269	0	0	1.136	0	0	0	1.0721	2.0981	1.012	0	0	2.0302	0	0	0	0	0	0	0	0	0	1.0466	1.9841	1.9576	0	0	0	1.9938	0.96256	0	0	1.0949	1.0552	5.6459	2.1337	3.0163	0	0	0	0	0	0	0	0	0	2.179	2.456	1.0391	0	0	0	0	0	0.88936	0	0.9795	0.96338	0	3.9162	2.6578
ydjN	0	0	0	0	0	1.0272	1.023	3.2774	4.3727	7.0118	2.3053	4.7123	0	1.1075	0	0	1.1536	0	0	1.049	0	0.96145	0	0	0	0	0	0	0	0	0	3.3204	1.0925	2.0932	2.9762	2.9364	1.0251	1.0281	1.075	0.99691	0	1.9434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0543	0	0	0	0	0	0	0	0	0	0
yeaD	0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																1.1608	2.2516	3.285	0	0	0	0	0	0															
yeaG										7.7909	9.2214	10.21	15.58	13.29	15.904	9.8079	13.843	14.78	11.794	12.588	14.168	13.46	15.812	16.241										2.0932	1.9841	1.9576	3.0752	4.1122	3.2251	2.9907	2.8877	2.9151	2.9796	2.1898	3.1655	0.94098	1.0669	2.0109										0	0	0	0	1.0543	0	4.6907	1.9576	3.5575	6.0735	5.877	4.8169	6.4073	4.8953	7.0874
yebC	4.7303	6.0125	5.2597	5.1861	1.0448	2.0543	3.069	5.4623	3.2795	4.6745	4.6107	3.1416	3.5953	4.4301	1.136	1.9616	2.3072	2.1115	2.1443	1.049	4.048	0	1.0541	2.0302	1.0597	3.701	4.9255	1.1729	3.2142	1.0921	1.1235	2.2136	3.2774	2.0932	5.9524	2.9364	2.0501	2.0561	1.075	0.99691	0	0.97171	0	0	0	0.94098	0	1.0054	0	0	2.19	2.159	1.1438	2.0296	3.1545	3.9588	3.869	6.537	3.684	3.1172	4.8732	4.2172	2.2861	0.93814	1.9576	1.7787	0	0.9795	0.96338	0.91532	0	0.88592
yebF	0	0	0	0	0	0	1.023	0	1.0932	1.5582	3.0738	3.9269	3.5953	3.3226	4.5441	1.9616	4.6143	2.1115	3.2164	2.0981	3.036	0.96145	1.0541	2.0302	0	0	0	0	0	0	0	0	0	2.0932	1.9841	0.97882	2.0501	3.0842	2.15	1.9938	1.9251	2.9151	1.9864	1.0949	1.0552	1.882	0	1.0054	0	0	1.095	0	0	0	0	0	0	2.179	0	1.0391	0.97464	2.1086	1.1431	0.93814	1.9576	1.7787	2.0245	2.9385	2.8901	3.6613	0	1.7718
znuA										7.7909	4.6107	5.4977	10.786	9.9677	11.36	14.712	12.689	7.3901	16.082	14.686	14.168	20.191	18.974	19.287										0	0	0	5.1253	2.0561	4.3001	11.963	9.6256	7.7737	13.905	15.329	12.662	13.174	10.669	15.081										0	0	0	0	0	0	0	0	0	14.171	9.795	10.597	14.645	16.644	14.175
yebR										0	0	0.78539	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0.99321	0	0	0	0	0										0	0	0	0	0	0	0	0.97882	0	0	0	0	0	0	0
yebV										0	0.76845	0.78539	0	0	0	0	0	0	1.0721	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0.97906	0
yecA										1.5582	1.5369	1.5708	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0.88936	0	0.9795	0	0	0	0
yedD	1.5768	1.5031	1.5028	2.0744	1.0448	2.0543	2.046	2.1849	2.1864	1.5582	1.5369	1.5708	2.3969	2.215	2.2721	1.9616	2.3072	2.1115	2.1443	2.0981	2.024	1.9229	1.0541	2.0302	1.0597	1.4804	1.6418	0	0	1.0921	0	1.1068	0	0	0	0	1.0251	1.0281	1.075	0.99691	0.96256	0.97171	1.9864	1.0949	1.0552	1.882	2.1337	1.0054	1.1608	2.2516	2.19	1.0795	1.1438	2.0296	1.0515	0.98969	0	1.0895	0	2.0781	1.9493	1.0543	1.1431	0.93814	0	1.7787	1.0122	0.9795	1.9268	1.8306	1.9581	1.7718
yedO																			0	0	0	0	0	0																			0	0	0	0	1.0669	0																			0	0	0	0	0	0
yedP																			0	0	0	0	1.0541	0																			0	0	0	0	0	0																			0	0	0	0	0	0
yeeN	2.3651	0	0.75139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1608	1.1258	1.095	0	0	0	0	0	0	0	0	1.0391	0	0	0	0	0	0	0	0	0	0.91532	0	0
yeeX	0.78838	0	2.2542	1.0372	0	0	0	0	1.0932	3.1163	3.0738	2.3562	2.3969	3.3226	2.2721	1.9616	2.3072	2.1115	2.1443	2.0981	2.024	2.8844	3.1624	3.0453	2.1193	1.4804	1.6418	0	1.0714	1.0921	0	0	0	0	0	0.97882	1.0251	1.0281	0	0	0	1.9434	0.99321	0	0	0.94098	0	1.0054	0	0	0	2.159	2.2877	0	0	0.98969	0	1.0895	0	1.0391	0	1.0543	0	1.8763	0.97882	0.88936	1.0122	0.9795	0.96338	2.746	1.9581	1.7718
yeeZ										1.5582	2.3053	2.3562	0	1.1075	0	0.98079	0	2.1115	2.1443	2.0981	2.024	0.96145	1.0541	1.0151										0	0.99207	0.97882	0	0	0	0.99691	0.96256	0	0.99321	0	0	0.94098	1.0669	1.0054										0	0	0	0	0	0	0	0	0.88936	0	0	0	0.91532	0	0
yegE	0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	1.095	0	0	0	1.0515	0	0.96724															
yegP										0	0	0	2.3969	2.215	2.2721	2.9424	0	2.1115	3.2164	2.0981	5.06	5.7687	6.3248	5.0755										0	0	0	0	0	0	0	0	0	0.99321	0	0	1.882	0	1.0054										0	0	0	0	0	0	0	0	0	0	0	0	0.91532	0	0
yegQ	0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	1.1258	0	0	0	0	0	0	0															
osmF										0.77909	3.0738	2.3562	0	1.1075	2.2721	2.9424	2.3072	3.1672	3.2164	3.1471	3.036	0	1.0541	1.0151										0	0	0	0	0	0	0.99691	0.96256	0	0	0	0	0.94098	1.0669	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yeiP	0	0	0.75139	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
