# Program:featureCounts v1.5.0-p3; Command:"/users/joonhoonkim/bin/anaconda/bin/featureCounts" "-T" "24" "--primary" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "NC_017638_pBbA5c_pTrc99A.gtf" "-o" "RNA_Seq_counts_s1.txt" "mapped/bwa_all/3A-0-1.bam" "mapped/bwa_all/3A-0-2.bam" "mapped/bwa_all/3A-1-1.bam" "mapped/bwa_all/3A-12-1.bam" "mapped/bwa_all/3A-12-2.bam" "mapped/bwa_all/3A-1-2.bam" "mapped/bwa_all/3Amk-0-1.bam" "mapped/bwa_all/3Amk-0-2.bam" "mapped/bwa_all/3Amk-12-1.bam" "mapped/bwa_all/3Amk-12-2.bam" "mapped/bwa_all/3Amk-1-2.bam" "mapped/bwa_all/3Amk-1-3.bam" "mapped/bwa_all/WT-0-1.bam" "mapped/bwa_all/WT-0-2.bam" "mapped/bwa_all/WT-1-1.bam" "mapped/bwa_all/WT-12-1.bam" "mapped/bwa_all/WT-12-3.bam" "mapped/bwa_all/WT-1-2.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/bwa_all/3A-0-1.bam	mapped/bwa_all/3A-0-2.bam	mapped/bwa_all/3A-1-1.bam	mapped/bwa_all/3A-12-1.bam	mapped/bwa_all/3A-12-2.bam	mapped/bwa_all/3A-1-2.bam	mapped/bwa_all/3Amk-0-1.bam	mapped/bwa_all/3Amk-0-2.bam	mapped/bwa_all/3Amk-12-1.bam	mapped/bwa_all/3Amk-12-2.bam	mapped/bwa_all/3Amk-1-2.bam	mapped/bwa_all/3Amk-1-3.bam	mapped/bwa_all/WT-0-1.bam	mapped/bwa_all/WT-0-2.bam	mapped/bwa_all/WT-1-1.bam	mapped/bwa_all/WT-12-1.bam	mapped/bwa_all/WT-12-3.bam	mapped/bwa_all/WT-1-2.bam
yheM	NC_017638.1	3452878	3453237	-	360	421	375	85	24	36	128	301	316	71	41	340	90	301	410	263	11	15	210
yheN	NC_017638.1	3453237	3453623	-	387	1037	721	153	84	43	278	480	575	93	88	450	232	779	618	460	14	22	282
yheO	NC_017638.1	3453623	3454345	-	723	1745	1344	462	342	277	719	1399	1356	271	217	1213	876	1257	1760	1401	63	168	675
fkpA	NC_017638.1	3454512	3455324	-	813	10375	10433	2256	517	310	3614	8679	9210	641	428	4080	1758	14208	12956	5899	80	115	2146
slyX	NC_017638.1	3455545	3455763	+	219	55	36	8	6	25	31	33	27	4	10	43	6	10	18	76	0	0	44
slyD	NC_017638.1	3455812	3456402	-	591	6489	6434	578	221	265	807	4580	5391	257	180	867	459	9464	5015	1726	33	53	1095
yheV	NC_017638.1	3456497	3456697	-	201	70	34	19	26	26	25	36	11	9	23	65	30	51	32	86	2	3	32
kefB	NC_017638.1	3456707	3458512	-	1806	145	124	106	288	205	270	89	89	72	82	263	161	90	56	389	1	31	237
kefG	NC_017638.1	3458512	3459066	-	555	11	6	14	4	9	16	3	4	0	9	31	1	0	4	18	0	1	18
yheS	NC_017638.1	3459194	3461107	+	1914	1278	1022	358	158	66	364	902	1012	191	106	929	303	926	1412	702	8	49	370
yheT	NC_017638.1	3461107	3462129	+	1023	317	307	66	68	54	113	271	144	89	38	187	92	232	364	187	8	12	100
yheU	NC_017638.1	3462123	3462341	+	219	49	53	14	16	8	17	10	44	24	19	41	29	28	30	23	2	0	25
prkB	NC_017638.1	3462395	3463264	+	870	270	214	202	122	121	239	285	169	131	72	282	250	140	191	503	2	11	361
yhfA	NC_017638.1	3463319	3463723	-	405	1305	1125	315	34	12	442	565	620	65	56	216	146	694	807	419	11	3	282
crp	NC_017638.1	3464025	3464657	+	633	13113	11111	3211	706	728	5936	8113	7437	906	470	4381	1941	9458	10451	8654	118	82	3884
yhfK	NC_017638.1	3464795	3466798	+	2004	2186	2089	427	78	60	555	1663	1503	255	199	1178	387	1484	1793	1198	12	12	902
argD	NC_017638.1	3466865	3468085	-	1221	80	83	20	15	17	34	97	107	57	12	78	5	207	215	63	3	19	38
pabA	NC_017638.1	3468171	3468734	-	564	31	34	17	131	121	31	54	49	75	48	218	82	20	43	166	29	28	87
fic	NC_017638.1	3468766	3469368	-	603	356	277	280	1306	927	522	283	375	154	90	436	215	204	272	1938	54	100	1021
yhfG	NC_017638.1	3469358	3469525	-	168	57	48	121	500	448	154	49	63	150	100	94	49	22	38	346	29	32	424
ppiA	NC_017638.1	3469630	3470202	-	573	340	290	74	5	23	45	290	344	37	17	64	24	314	492	125	1	11	44
tsgA	NC_017638.1	3470473	3471654	+	1182	120	77	61	26	35	73	208	144	101	82	104	66	9	57	146	6	5	94
nirB	NC_017638.1	3471916	3474459	+	2544	8932	8007	377	49	32	1018	6958	7856	101	63	1178	367	12849	11612	440	15	31	333
nirD	NC_017638.1	3474456	3474782	+	327	67	90	5	0	1	4	112	128	1	0	0	26	139	64	7	0	0	0
nirC	NC_017638.1	3474908	3475714	+	807	1947	1167	82	15	2	129	887	1044	23	9	98	33	1898	2239	185	4	3	253
cysG	NC_017638.1	3475733	3477106	+	1374	1280	1156	97	31	12	183	938	1145	42	54	160	62	1042	1902	177	8	14	87
yhfL	NC_017638.1	3477353	3477520	+	168	53	25	0	2	0	10	23	80	5	0	0	0	58	67	13	0	0	0
frlA	NC_017638.1	3477815	3479152	+	1338	0	7	0	0	0	0	0	3	0	0	0	0	11	0	0	0	0	0
frlB	NC_017638.1	3479173	3480195	+	1023	137	77	10	8	0	10	24	30	18	4	44	45	49	65	24	0	0	8
frlC	NC_017638.1	3480245	3481075	+	831	20	42	5	0	11	7	10	5	18	2	16	12	58	11	44	0	1	15
frlD	NC_017638.1	3481072	3481857	+	786	22	3	1	3	1	0	15	4	0	0	24	20	21	32	29	0	0	9
frlR	NC_017638.1	3481957	3482688	+	732	218	162	144	77	38	127	183	167	23	58	104	44	191	248	95	7	27	154
yhfS	NC_017638.1	3482840	3483925	-	1086	33	34	44	8	10	42	37	44	25	21	30	39	27	13	59	1	0	24
yhfT	NC_017638.1	3483937	3485241	-	1305	37	11	51	2	6	66	43	10	9	17	103	42	23	11	36	0	0	39
yhfU	NC_017638.1	3485253	3485606	-	354	1	4	27	2	11	63	7	0	0	17	31	15	8	12	10	0	0	27
php	NC_017638.1	3485617	3486495	-	879	5	14	29	1	0	34	0	8	11	2	31	2	2	12	5	0	6	0
yhfW	NC_017638.1	3486492	3487718	-	1227	30	9	3	0	0	63	4	0	7	1	56	21	0	0	13	0	0	18
yhfX	NC_017638.1	3487718	3488881	-	1164	37	40	213	16	39	465	3	25	6	5	306	96	17	15	13	0	0	6
yhfY	NC_017638.1	3488965	3489327	-	363	32	9	126	0	28	226	11	22	30	34	15	32	13	24	51	0	0	48
yhfZ	NC_017638.1	3489344	3490249	-	906	164	131	283	18	30	413	43	93	63	31	119	35	51	69	105	0	0	64
trpS	NC_017638.1	3490539	3491543	-	1005	2015	1137	459	165	161	704	860	1029	260	152	549	214	1455	1895	1165	23	75	803
gph	NC_017638.1	3491536	3492294	-	759	360	352	83	59	36	120	191	328	96	42	117	52	298	432	406	1	1	165
rpe	NC_017638.1	3492287	3492964	-	678	562	695	224	134	136	464	537	387	178	30	259	226	585	513	687	5	3	570
dam	NC_017638.1	3492982	3493818	-	837	301	123	76	44	9	148	90	142	53	48	117	105	194	216	136	14	2	161
damX	NC_017638.1	3493925	3495211	-	1287	6531	4147	832	416	346	1543	3325	2801	661	332	1637	707	4997	4930	2705	41	61	1099
aroB	NC_017638.1	3495303	3496391	-	1089	2319	1643	367	177	148	560	1382	1433	189	146	531	311	2075	1779	1228	28	44	346
aroK	NC_017638.1	3496448	3496969	-	522	2422	1597	366	91	81	438	1458	1136	86	126	453	295	1709	2309	911	15	12	423
hofQ	NC_017638.1	3497370	3498608	-	1239	11	47	15	1	0	19	12	26	0	8	14	2	29	28	6	0	0	1
hofP	NC_017638.1	3498520	3498924	-	405	9	6	5	0	0	11	0	11	8	0	13	0	10	22	4	0	0	1
hofO	NC_017638.1	3498914	3499354	-	441	8	9	0	0	1	0	4	0	0	1	0	0	2	3	5	0	0	1
hofN	NC_017638.1	3499338	3499877	-	540	4	0	7	0	0	7	3	0	0	0	1	0	1	7	0	0	0	0
yrfD	NC_017638.1	3499877	3500656	-	780	38	30	23	1	0	20	8	8	6	4	10	0	12	17	6	0	0	11
mrcA	NC_017638.1	3500797	3503328	+	2532	948	831	501	110	120	652	906	1181	379	429	452	437	640	1398	539	27	62	604
nudE	NC_017638.1	3503494	3504054	-	561	770	604	205	72	54	334	603	468	103	134	825	344	415	591	574	8	17	232
yrfF	NC_017638.1	3504374	3506509	+	2136	763	677	427	32	55	282	543	472	263	259	164	166	335	523	276	10	38	428
yrfG	NC_017638.1	3506574	3507242	+	669	367	235	36	57	52	81	148	191	79	92	280	112	128	212	191	58	75	97
hslR	NC_017638.1	3507253	3507654	+	402	1348	1168	253	150	109	517	861	817	217	182	1792	820	1081	971	1008	553	1314	267
hslO	NC_017638.1	3507679	3508557	+	879	977	900	259	211	148	428	732	796	278	190	1432	637	1364	1397	539	328	562	240
yhgE	NC_017638.1	3508620	3510344	-	1725	580	572	400	73	44	633	510	460	109	82	538	324	421	485	853	17	11	645
pck	NC_017638.1	3510723	3512345	+	1623	22133	16932	6203	204	157	11278	12785	10176	887	398	8630	5522	10060	8519	8405	55	78	4946
envZ	NC_017638.1	3512421	3513764	-	1344	1734	1543	918	859	563	1434	1232	1051	355	245	824	460	1215	1286	2875	232	226	1605
ompR	NC_017638.1	3513770	3514489	-	720	1782	1743	661	415	362	1051	1197	1137	255	186	944	336	1149	1242	2463	99	89	1062
greB	NC_017638.1	3514717	3515193	+	477	143	158	39	16	35	34	135	104	30	22	77	39	159	153	171	0	15	48
yhgF	NC_017638.1	3515290	3517611	+	2322	1374	1394	223	18	40	250	841	1080	115	91	398	157	1759	2038	465	1	6	360
feoA	NC_017638.1	3518068	3518295	+	228	52	75	333	54	103	238	41	77	233	63	94	34	54	61	148	56	60	66
feoB	NC_017638.1	3518312	3520633	+	2322	2414	1591	2635	1431	1206	4113	1198	1163	1400	1035	1580	693	1556	1564	2804	251	406	1510
feoC	NC_017638.1	3520633	3520869	+	237	39	14	21	7	24	31	22	10	24	7	0	0	16	18	21	0	0	12
yhgA	NC_017638.1	3521072	3521950	+	879	56	45	10	12	0	43	44	35	18	10	24	1	29	56	69	0	8	23
bioH	NC_017638.1	3521979	3522749	-	771	248	223	159	12	13	190	128	157	17	24	82	42	238	262	158	0	0	160
gntX	NC_017638.1	3522787	3523470	+	684	458	401	483	34	4	611	313	332	275	274	342	267	558	346	358	43	83	328
gntY	NC_017638.1	3523529	3524104	+	576	1152	999	805	155	75	1191	808	831	461	343	888	648	1140	1241	756	278	492	366
gntT	NC_017638.1	3524464	3525780	+	1317	604	496	202	47	37	201	222	229	224	128	110	70	350	397	624	46	78	179
malQ	NC_017638.1	3525891	3527975	-	2085	12294	10383	257	279	266	395	6577	6408	142	158	747	302	16915	18715	1438	11	50	852
malP	NC_017638.1	3527985	3530378	-	2394	21810	22773	387	665	513	970	14807	17841	304	159	1484	720	36263	36362	1926	71	86	1427
malT	NC_017638.1	3530990	3533695	+	2706	17543	12667	1589	208	194	2279	7714	6520	339	284	1125	617	7710	9730	2403	25	59	1267
rtcA	NC_017638.1	3533738	3534745	-	1008	15	37	69	59	22	54	16	60	3	11	42	21	27	19	99	0	2	71
rtcB	NC_017638.1	3534758	3535984	-	1227	134	112	96	219	164	141	72	71	33	15	95	30	128	74	479	9	13	170
rtcR	NC_017638.1	3536173	3537771	+	1599	32	60	61	8	20	77	13	29	12	8	79	17	18	6	54	0	1	33
glpR	NC_017638.1	3537753	3538511	-	759	119	106	90	101	23	111	103	104	22	9	81	20	106	164	170	0	10	54
glpG	NC_017638.1	3538528	3539358	-	831	308	241	124	36	72	177	214	219	38	44	288	151	272	304	190	10	21	100
glpE	NC_017638.1	3539403	3539729	-	327	102	29	41	42	7	87	26	78	0	14	84	16	16	38	17	0	6	8
glpD	NC_017638.1	3539919	3541424	+	1506	1108	994	2384	1276	1001	2789	482	422	898	747	3868	2280	304	163	2848	72	172	2550
yzgL	NC_017638.1	3541630	3541911	-	282	73	63	56	6	1	49	46	32	29	6	20	73	14	65	70	0	12	69
glgP	NC_017638.1	3542040	3544487	-	2448	5920	5540	1683	2451	2195	3019	4567	4375	1414	726	2856	1339	4593	3652	10314	129	288	5096
glgA	NC_017638.1	3544506	3545939	-	1434	3219	2412	1150	1397	1157	2399	2182	2124	1054	512	2968	967	2252	2174	7102	95	146	3420
glgC	NC_017638.1	3545939	3547234	-	1296	4497	2265	1464	1303	1045	3129	1860	1699	777	473	2943	1179	1995	2662	7448	81	81	3883
glgX	NC_017638.1	3547252	3549225	-	1974	2192	1867	1106	1103	886	1813	1596	1569	1106	482	2915	1076	1468	1662	5336	40	67	3091
glgB	NC_017638.1	3549222	3551408	-	2187	4369	3468	2000	1016	998	3864	2607	2604	1469	679	5606	2053	2898	2860	10311	86	97	5042
asd	NC_017638.1	3551681	3552784	-	1104	16780	14400	4313	1606	1227	9720	11948	12398	1735	485	7362	3153	12304	18537	18255	118	187	9044
yhgN	NC_017638.1	3552977	3553570	+	594	401	234	194	55	71	189	293	287	14	21	242	164	227	228	209	17	3	46
gntU	NC_017638.1	3553627	3554967	-	1341	544	383	33	15	1	106	165	123	73	36	139	36	238	376	831	18	30	364
gntK	NC_017638.1	3554971	3555498	-	528	228	158	148	19	31	413	126	118	47	32	178	129	140	129	924	11	25	1162
gntR	NC_017638.1	3555637	3556632	-	996	1650	1050	531	206	220	897	922	817	172	169	703	368	900	1127	2317	21	70	903
yhhW	NC_017638.1	3556856	3557551	-	696	745	604	143	124	43	194	384	397	79	65	356	138	496	681	626	14	58	279
yhhX	NC_017638.1	3557674	3558711	-	1038	2391	1710	1151	315	426	1922	1352	1162	263	128	996	557	1753	1389	2909	19	27	1275
yhhY	NC_017638.1	3559044	3559532	+	489	675	324	129	39	23	292	186	164	31	27	188	99	478	576	465	0	3	148
yhhZ	NC_017638.1	3559769	3560947	+	1179	9	0	0	0	0	0	0	3	0	0	16	0	1	2	0	0	0	0
yrhA	NC_017638.1	3560944	3561360	+	417	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
yrhD	NC_017638.1	3562310	3562465	+	156	2	1	0	0	0	0	7	0	5	13	0	0	0	0	0	0	0	42
yrhB	NC_017638.1	3562665	3562949	+	285	23	16	9	12	9	7	25	29	18	5	2	0	9	13	20	8	4	20
ggt	NC_017638.1	3562987	3564729	-	1743	246	143	64	58	49	101	101	227	101	56	173	74	178	104	2390	13	1	493
yhhA	NC_017638.1	3564849	3565289	+	441	119	94	230	1173	1288	387	101	84	398	187	189	126	46	76	2152	491	968	967
ugpQ	NC_017638.1	3565276	3566019	-	744	269	209	72	93	87	78	132	164	66	75	95	71	130	137	319	4	7	113
ugpC	NC_017638.1	3566016	3567086	-	1071	62	36	11	82	85	63	53	7	12	16	51	38	34	14	193	1	19	23
ugpE	NC_017638.1	3567088	3567933	-	846	38	29	47	173	214	53	13	31	78	126	141	121	22	35	451	0	18	502
ugpA	NC_017638.1	3567930	3568817	-	888	2	17	1	260	210	15	8	13	35	34	54	31	12	13	47	0	25	58
ugpB	NC_017638.1	3568915	3570231	-	1317	36	29	34	422	261	22	9	30	75	62	78	40	17	13	57	12	4	75
livF	NC_017638.1	3570630	3571343	-	714	361	225	46	0	11	67	165	190	1	9	20	37	413	266	64	0	2	35
livG	NC_017638.1	3571345	3572112	-	768	628	569	24	3	5	91	350	335	12	4	53	75	644	546	95	8	2	45
livM	NC_017638.1	3572109	3573386	-	1278	731	540	62	14	43	116	337	461	33	19	89	32	639	927	77	5	1	48
livH	NC_017638.1	3573383	3574309	-	927	898	483	41	10	0	69	354	375	0	0	38	12	714	711	76	1	0	26
livK	NC_017638.1	3574357	3575520	-	1164	2831	2198	138	4	6	128	1380	1350	23	14	180	70	2316	2447	104	5	11	141
yhhK	NC_017638.1	3575890	3576273	+	384	328	344	131	3	8	167	171	242	0	10	91	22	152	256	145	2	1	127
livJ	NC_017638.1	3576461	3577564	-	1104	758	583	2	7	16	25	467	601	19	7	26	9	1534	1115	80	7	3	87
rpoH	NC_017638.1	3577835	3578689	-	855	3276	2889	1757	598	575	1931	1963	1970	1031	800	3048	1321	3516	2779	3333	1111	1356	1531
ftsX	NC_017638.1	3578934	3579992	-	1059	1709	1120	672	147	185	860	1015	923	301	243	645	294	1044	1208	685	45	81	860
ftsE	NC_017638.1	3579985	3580653	-	669	1233	879	387	147	213	403	660	763	143	126	275	188	1009	813	401	15	42	346
ftsY	NC_017638.1	3580656	3582149	-	1494	2347	1820	510	135	180	776	1641	1538	199	213	737	263	1701	1685	635	50	55	878
rsmD	NC_017638.1	3582299	3582895	+	597	276	374	74	41	25	105	241	205	30	15	84	81	164	199	157	0	39	99
yhhL	NC_017638.1	3582885	3583154	+	270	140	123	38	27	9	29	63	89	43	17	41	14	39	71	108	2	1	70
yhhM	NC_017638.1	3583157	3583516	-	360	60	53	58	46	26	54	48	26	10	17	28	0	35	38	5	11	0	30
yhhN	NC_017638.1	3583657	3584283	+	627	3356	2791	2121	294	392	2886	2197	2282	696	488	2385	1503	2163	2244	3995	59	23	3134
zntA	NC_017638.1	3584357	3586555	+	2199	1548	1306	625	153	140	932	812	940	192	143	544	344	1061	1025	912	7	1	717
yhhP	NC_017638.1	3586657	3586902	-	246	387	235	137	22	38	95	272	295	73	74	137	180	248	444	218	19	49	101
yhhQ	NC_017638.1	3587123	3587788	+	666	568	475	151	143	79	221	142	123	44	35	369	170	22	79	67	0	21	33
dcrB	NC_017638.1	3587861	3588418	+	558	1597	1604	861	80	64	1254	896	870	148	89	868	386	999	820	1029	5	10	897
yhhS	NC_017638.1	3588422	3589672	-	1251	643	406	587	96	101	447	240	328	80	44	259	131	292	267	290	6	5	339
yhhT	NC_017638.1	3589771	3590820	+	1050	246	186	215	129	86	226	191	243	146	87	253	130	124	249	568	47	54	569
acpT	NC_017638.1	3590875	3591462	+	588	302	253	69	23	41	71	171	210	70	55	55	42	202	259	194	37	23	144
nikA	NC_017638.1	3591573	3593147	+	1575	1497	1459	21	6	2	29	1422	1532	42	24	44	45	2543	2294	32	7	7	5
nikB	NC_017638.1	3593147	3594091	+	945	1170	1068	26	1	3	18	929	1100	23	28	93	33	2057	1988	6	6	6	29
nikC	NC_017638.1	3594088	3594921	+	834	393	391	14	0	0	5	263	213	3	11	33	1	797	584	4	0	0	4
nikD	NC_017638.1	3594921	3595685	+	765	814	508	1	2	1	1	371	291	14	4	2	2	622	1289	13	1	1	8
nikE	NC_017638.1	3595682	3596488	+	807	1350	1185	92	25	0	53	1072	1044	14	21	68	16	1748	1802	60	3	9	46
nikR	NC_017638.1	3596494	3596895	+	402	288	326	11	10	7	31	319	311	9	0	65	30	501	545	40	0	1	25
rhsB	NC_017638.1;NC_017638.1	3597098;3746869	3601333;3747162	+;+	4530	181	106	60	40	18	109	110	129	45	61	118	31	105	105	93	11	15	56
yhhH	NC_017638.1	3601305	3601688	+	384	80	62	32	3	7	44	81	66	0	1	29	35	38	69	14	0	0	25
yhhI	NC_017638.1	3602284	3603420	+	1137	150	97	27	23	30	57	93	80	4	17	107	64	86	122	68	0	10	3
yhhJ	NC_017638.1	3603585	3604709	-	1125	182	106	214	41	59	325	78	36	101	73	227	205	70	44	263	1	7	327
rbbA	NC_017638.1	3604709	3607444	-	2736	530	337	960	346	310	2048	233	258	274	170	1500	816	239	172	1710	11	9	1258
yhiI	NC_017638.1	3607441	3608508	-	1068	375	350	791	250	210	1615	162	193	142	97	1534	559	154	172	1064	9	15	855
yhiJ	NC_017638.1	3608874	3610496	-	1623	128	45	25	35	25	36	40	25	34	7	67	27	15	38	68	10	9	45
yhiK	NC_017638.1	3610758	3611150	-	393	8	6	0	4	0	0	2	0	0	0	0	0	0	5	0	3	0	0
yhiL	NC_017638.1	3611126	3612364	-	1239	15	5	0	4	0	5	11	8	6	7	1	16	9	3	18	11	14	3
yhiM	NC_017638.1	3612747	3613799	+	1053	43	28	1	10	10	18	31	74	715	295	103	58	24	32	165	23	13	54
yhiN	NC_017638.1	3614114	3615316	-	1203	540	324	173	50	9	354	316	392	74	81	346	255	234	361	244	4	12	232
pitA	NC_017638.1	3615548	3617047	+	1500	4468	4275	1212	515	564	1837	5060	5772	845	395	1955	1074	6122	11325	1903	152	91	1713
uspB	NC_017638.1	3617291	3617626	-	336	120	142	163	486	404	408	84	51	238	102	261	118	62	32	1727	149	106	896
uspA	NC_017638.1	3618017	3618451	+	435	22543	15929	25286	6149	5784	44675	12576	12617	5126	3757	25496	8697	16338	16171	54679	474	633	37583
yhiP	NC_017638.1	3618768	3620237	+	1470	406	372	381	765	962	751	200	264	283	181	472	198	170	159	1475	38	117	804
yhiQ	NC_017638.1	3620286	3621038	-	753	212	138	59	19	11	48	130	80	64	34	100	16	201	270	64	5	26	129
prlC	NC_017638.1	3621046	3623088	-	2043	2966	2160	1099	880	742	2019	1847	2018	600	478	2501	1263	3846	3014	2771	188	206	1389
yhiR	NC_017638.1	3623291	3624133	+	843	922	734	228	131	82	200	578	472	59	54	344	131	709	785	567	6	16	205
gor	NC_017638.1	3624205	3625557	+	1353	1251	1089	198	259	302	272	799	911	74	51	514	367	1299	1172	604	10	30	352
ECDH1ME8569_3378	NC_017638.1	3625611	3625760	-	150	1	2	0	0	15	0	4	6	4	14	0	1	0	1	12	0	0	0
ECDH1ME8569_3379	NC_017638.1	3625722	3625895	+	174	302	235	22	62	65	96	252	208	36	30	111	108	197	263	123	5	0	61
arsR	NC_017638.1	3626434	3626787	+	354	7	0	0	6	13	11	7	0	0	6	4	0	8	11	6	0	0	15
arsB	NC_017638.1	3626841	3628130	+	1290	24	14	17	7	30	50	35	23	28	22	3	26	15	30	62	3	6	48
arsC	NC_017638.1	3628143	3628568	+	426	43	38	0	9	17	0	41	20	4	3	35	0	56	31	48	0	4	7
yhiS	NC_017638.1	3629197	3629979	+	783	12	2	2	0	4	12	18	0	10	0	22	0	8	11	14	0	0	0
slp	NC_017638.1	3631867	3632433	+	567	919	1001	177	197	252	243	1126	1333	1084	614	1257	597	454	710	5157	284	207	3033
dctR	NC_017638.1	3632589	3633119	+	531	295	176	40	9	3	10	231	235	92	104	141	129	57	99	505	26	24	187
yhiD	NC_017638.1	3633161	3633808	-	648	1543	1301	24	31	8	44	1948	2389	2184	1560	3489	2205	852	1841	4041	72	113	2300
hdeB	NC_017638.1	3633872	3634198	-	327	5098	5404	159	1087	1106	279	6962	8307	16348	11441	5550	3253	4636	6895	26016	504	815	18421
hdeA	NC_017638.1	3634314	3634646	-	333	14633	8556	609	2234	1951	845	10826	12908	32897	17547	11588	8838	8604	10570	49589	1580	2558	46906
hdeD	NC_017638.1	3634901	3635473	+	573	2436	2457	164	512	521	176	2600	2962	4698	1829	2075	1302	2332	3013	13546	94	215	9554
gadE	NC_017638.1	3636272	3636799	+	528	1274	1614	390	1367	1577	469	2424	2677	7674	6076	2754	2984	1064	1487	11246	321	780	15490
mdtE	NC_017638.1	3637186	3638295	+	1110	234	266	2	14	23	28	324	301	224	127	328	109	271	202	459	24	44	177
mdtF	NC_017638.1	3638320	3641433	+	3114	912	963	23	29	18	80	1254	1471	1255	552	1114	533	840	977	1985	51	101	1416
gadW	NC_017638.1	3641796	3642524	-	729	1479	1147	1018	1049	1012	1424	971	971	1650	732	1404	931	441	621	6176	737	1135	5097
gadX	NC_017638.1	3642892	3643716	-	825	2873	2524	1433	1860	1817	1924	2124	2147	2919	2071	2656	1380	737	996	6379	651	784	4435
gadA	NC_017638.1	3644086	3645486	-	1401	794	1022	36	820	737	74	1559	1741	11185	5374	4700	2246	575	834	7852	4805	7449	3621
yhjA	NC_017638.1	3645697	3647094	-	1398	99	104	24	4	2	39	44	103	8	11	28	5	48	55	84	1	3	28
treF	NC_017638.1	3647498	3649147	+	1650	272	179	246	1224	1260	375	102	247	320	229	430	208	164	122	1817	579	951	1286
yhjB	NC_017638.1	3649198	3649800	-	603	8	4	2	0	31	0	7	2	5	0	23	6	5	0	28	0	0	0
yhjC	NC_017638.1	3650248	3651219	+	972	64	38	57	10	2	86	47	17	0	17	39	28	45	77	9	0	0	33
yhjD	NC_017638.1	3651268	3652281	+	1014	506	479	1187	1807	1677	1967	299	355	819	510	845	610	419	245	3779	99	254	2748
yhjE	NC_017638.1	3652692	3654014	+	1323	175	142	103	179	194	147	106	97	43	40	100	55	90	120	121	20	36	93
yhjG	NC_017638.1	3654196	3656256	-	2061	1574	1388	1125	1574	1588	1785	1337	1549	1267	774	2064	1215	708	902	4929	207	275	4269
yhjH	NC_017638.1	3656326	3657093	-	768	29	65	10	6	9	18	144	140	2	6	61	15	122	88	48	0	2	31
kdgK	NC_017638.1	3657325	3658254	+	930	21709	18225	2516	284	426	2731	13317	13117	740	800	2870	1587	19330	22420	3507	97	181	2338
yhjJ	NC_017638.1	3658350	3659846	-	1497	822	517	205	196	140	182	550	443	148	72	113	113	768	1693	464	7	16	247
dctA	NC_017638.1	3660067	3661353	-	1287	1521	934	129	134	84	397	749	719	97	63	458	285	501	721	340	27	41	207
yhjK	NC_017638.1	3661536	3663485	-	1950	1202	1003	510	583	508	659	739	823	428	397	905	533	854	1109	1101	89	181	850
bcsC	NC_017638.1	3663606	3667079	-	3474	4495	3498	954	418	369	1756	2474	2170	397	318	1681	909	1609	2236	4112	53	75	2501
bcsZ	NC_017638.1	3667061	3668167	-	1107	550	350	161	12	19	151	282	196	35	22	150	26	177	279	466	2	2	326
bcsB	NC_017638.1	3668174	3670513	-	2340	1830	1363	675	616	502	1073	952	1052	231	107	813	374	1167	1209	1992	6	21	1286
bcsA	NC_017638.1	3670524	3673142	-	2619	2230	1665	1408	573	654	1518	1299	1262	324	224	1012	736	684	1326	1628	15	50	1972
yhjQ	NC_017638.1	3673139	3673867	-	729	544	350	379	224	243	384	352	483	62	81	262	192	202	239	508	1	5	573
yhjR	NC_017638.1	3673903	3674091	-	189	141	118	40	5	21	32	64	99	21	3	42	17	48	66	127	0	0	101
bcsE	NC_017638.1	3674376	3675935	+	1560	2386	1473	995	681	709	1484	979	1039	167	220	767	431	901	1140	2358	56	78	1762
bcsF	NC_017638.1	3675932	3676123	+	192	157	194	187	45	74	204	120	139	41	24	89	47	175	125	287	3	17	341
bcsG	NC_017638.1	3676120	3677799	+	1680	1885	1378	619	117	129	996	1010	1116	245	84	462	408	1074	1000	1263	26	21	1564
ldrD	NC_017638.1	3677886	3678161	-	276	4	7	0	0	0	12	4	0	0	0	14	1	11	13	1	0	0	14
yhjV	NC_017638.1	3678469	3679740	+	1272	630	420	148	53	58	214	448	397	71	64	187	117	259	439	188	55	13	107
dppF	NC_017638.1	3679770	3680774	-	1005	857	707	110	52	42	101	677	687	13	22	84	4	1195	1318	349	1	4	183
dppD	NC_017638.1	3680771	3681754	-	984	1342	1292	55	59	1	148	823	948	53	39	109	56	1731	1822	483	3	14	301
dppC	NC_017638.1	3681765	3682667	-	903	518	369	60	20	40	82	344	288	20	9	8	25	632	622	130	0	1	133
dppB	NC_017638.1	3682677	3683696	-	1020	350	278	4	2	21	23	237	275	4	14	18	13	379	388	40	2	0	35
dppA	NC_017638.1	3684004	3685611	-	1608	9435	7765	333	243	216	586	5455	6011	482	230	693	362	9503	9947	2838	23	19	1252
eptB	NC_017638.1	3686690	3688339	-	1650	906	740	123	70	54	174	511	400	73	124	277	95	548	854	217	13	16	156
yhjX	NC_017638.1	3688705	3689913	-	1209	13462	10051	14456	95	51	22521	475	252	64	82	173	135	29879	27900	241	58	59	105
yhjY	NC_017638.1	3690142	3690840	-	699	70	44	53	148	162	77	70	65	91	83	343	148	15	36	479	2	1	218
